,date,value,id
0,1990-01-01,88.6,ALCONS
1,1990-02-01,88.1,ALCONS
2,1990-03-01,87.6,ALCONS
3,1990-04-01,86.9,ALCONS
4,1990-05-01,87.4,ALCONS
5,1990-06-01,87.7,ALCONS
6,1990-07-01,85.8,ALCONS
7,1990-08-01,85.1,ALCONS
8,1990-09-01,83.3,ALCONS
9,1990-10-01,81.9,ALCONS
10,1990-11-01,81.7,ALCONS
11,1990-12-01,81.8,ALCONS
12,1991-01-01,81.1,ALCONS
13,1991-02-01,80.6,ALCONS
14,1991-03-01,80.8,ALCONS
15,1991-04-01,80.4,ALCONS
16,1991-05-01,79.7,ALCONS
17,1991-06-01,80.5,ALCONS
18,1991-07-01,79.8,ALCONS
19,1991-08-01,79.1,ALCONS
20,1991-09-01,78.9,ALCONS
21,1991-10-01,78.8,ALCONS
22,1991-11-01,77.6,ALCONS
23,1991-12-01,76.8,ALCONS
24,1992-01-01,76.7,ALCONS
25,1992-02-01,75.9,ALCONS
26,1992-03-01,75.4,ALCONS
27,1992-04-01,75.2,ALCONS
28,1992-05-01,76.1,ALCONS
29,1992-06-01,74.6,ALCONS
30,1992-07-01,75.3,ALCONS
31,1992-08-01,76.5,ALCONS
32,1992-09-01,76.5,ALCONS
33,1992-10-01,79.9,ALCONS
34,1992-11-01,79.0,ALCONS
35,1992-12-01,78.3,ALCONS
36,1993-01-01,77.4,ALCONS
37,1993-02-01,78.2,ALCONS
38,1993-03-01,77.5,ALCONS
39,1993-04-01,79.1,ALCONS
40,1993-05-01,79.3,ALCONS
41,1993-06-01,80.0,ALCONS
42,1993-07-01,80.7,ALCONS
43,1993-08-01,79.7,ALCONS
44,1993-09-01,79.2,ALCONS
45,1993-10-01,81.5,ALCONS
46,1993-11-01,81.8,ALCONS
47,1993-12-01,82.1,ALCONS
48,1994-01-01,81.8,ALCONS
49,1994-02-01,81.9,ALCONS
50,1994-03-01,82.2,ALCONS
51,1994-04-01,82.9,ALCONS
52,1994-05-01,83.0,ALCONS
53,1994-06-01,83.8,ALCONS
54,1994-07-01,84.3,ALCONS
55,1994-08-01,85.2,ALCONS
56,1994-09-01,86.3,ALCONS
57,1994-10-01,85.2,ALCONS
58,1994-11-01,87.5,ALCONS
59,1994-12-01,88.2,ALCONS
60,1995-01-01,91.0,ALCONS
61,1995-02-01,88.9,ALCONS
62,1995-03-01,89.9,ALCONS
63,1995-04-01,89.1,ALCONS
64,1995-05-01,87.9,ALCONS
65,1995-06-01,88.4,ALCONS
66,1995-07-01,88.9,ALCONS
67,1995-08-01,89.3,ALCONS
68,1995-09-01,89.1,ALCONS
69,1995-10-01,90.3,ALCONS
70,1995-11-01,90.9,ALCONS
71,1995-12-01,91.2,ALCONS
72,1996-01-01,93.5,ALCONS
73,1996-02-01,93.9,ALCONS
74,1996-03-01,94.2,ALCONS
75,1996-04-01,94.0,ALCONS
76,1996-05-01,95.0,ALCONS
77,1996-06-01,95.0,ALCONS
78,1996-07-01,95.6,ALCONS
79,1996-08-01,96.8,ALCONS
80,1996-09-01,97.6,ALCONS
81,1996-10-01,97.2,ALCONS
82,1996-11-01,98.7,ALCONS
83,1996-12-01,97.9,ALCONS
84,1997-01-01,97.2,ALCONS
85,1997-02-01,96.8,ALCONS
86,1997-03-01,97.4,ALCONS
87,1997-04-01,98.0,ALCONS
88,1997-05-01,97.9,ALCONS
89,1997-06-01,98.1,ALCONS
90,1997-07-01,97.8,ALCONS
91,1997-08-01,97.8,ALCONS
92,1997-09-01,98.3,ALCONS
93,1997-10-01,98.8,ALCONS
94,1997-11-01,97.6,ALCONS
95,1997-12-01,97.7,ALCONS
96,1998-01-01,98.6,ALCONS
97,1998-02-01,98.8,ALCONS
98,1998-03-01,98.9,ALCONS
99,1998-04-01,101.8,ALCONS
100,1998-05-01,100.8,ALCONS
101,1998-06-01,101.7,ALCONS
102,1998-07-01,99.3,ALCONS
103,1998-08-01,100.4,ALCONS
104,1998-09-01,99.9,ALCONS
105,1998-10-01,100.6,ALCONS
106,1998-11-01,101.3,ALCONS
107,1998-12-01,102.0,ALCONS
108,1999-01-01,102.7,ALCONS
109,1999-02-01,103.5,ALCONS
110,1999-03-01,103.6,ALCONS
111,1999-04-01,102.6,ALCONS
112,1999-05-01,102.8,ALCONS
113,1999-06-01,102.6,ALCONS
114,1999-07-01,103.6,ALCONS
115,1999-08-01,103.6,ALCONS
116,1999-09-01,104.1,ALCONS
117,1999-10-01,104.4,ALCONS
118,1999-11-01,104.7,ALCONS
119,1999-12-01,105.5,ALCONS
120,2000-01-01,105.4,ALCONS
121,2000-02-01,104.6,ALCONS
122,2000-03-01,104.2,ALCONS
123,2000-04-01,104.7,ALCONS
124,2000-05-01,104.1,ALCONS
125,2000-06-01,105.8,ALCONS
126,2000-07-01,106.6,ALCONS
127,2000-08-01,107.0,ALCONS
128,2000-09-01,107.5,ALCONS
129,2000-10-01,105.6,ALCONS
130,2000-11-01,106.0,ALCONS
131,2000-12-01,106.1,ALCONS
132,2001-01-01,105.5,ALCONS
133,2001-02-01,105.7,ALCONS
134,2001-03-01,105.3,ALCONS
135,2001-04-01,106.9,ALCONS
136,2001-05-01,106.9,ALCONS
137,2001-06-01,107.0,ALCONS
138,2001-07-01,105.6,ALCONS
139,2001-08-01,104.8,ALCONS
140,2001-09-01,104.3,ALCONS
141,2001-10-01,103.1,ALCONS
142,2001-11-01,103.7,ALCONS
143,2001-12-01,102.3,ALCONS
144,2002-01-01,100.4,ALCONS
145,2002-02-01,101.1,ALCONS
146,2002-03-01,100.7,ALCONS
147,2002-04-01,100.1,ALCONS
148,2002-05-01,100.2,ALCONS
149,2002-06-01,99.4,ALCONS
150,2002-07-01,99.8,ALCONS
151,2002-08-01,100.2,ALCONS
152,2002-09-01,100.9,ALCONS
153,2002-10-01,101.0,ALCONS
154,2002-11-01,100.3,ALCONS
155,2002-12-01,99.4,ALCONS
156,2003-01-01,100.1,ALCONS
157,2003-02-01,99.8,ALCONS
158,2003-03-01,99.3,ALCONS
159,2003-04-01,98.8,ALCONS
160,2003-05-01,98.3,ALCONS
161,2003-06-01,98.6,ALCONS
162,2003-07-01,98.7,ALCONS
163,2003-08-01,99.2,ALCONS
164,2003-09-01,99.7,ALCONS
165,2003-10-01,101.4,ALCONS
166,2003-11-01,101.7,ALCONS
167,2003-12-01,101.9,ALCONS
168,2004-01-01,102.1,ALCONS
169,2004-02-01,103.3,ALCONS
170,2004-03-01,102.9,ALCONS
171,2004-04-01,102.2,ALCONS
172,2004-05-01,102.3,ALCONS
173,2004-06-01,102.2,ALCONS
174,2004-07-01,103.2,ALCONS
175,2004-08-01,102.5,ALCONS
176,2004-09-01,101.9,ALCONS
177,2004-10-01,103.1,ALCONS
178,2004-11-01,103.2,ALCONS
179,2004-12-01,103.5,ALCONS
180,2005-01-01,103.5,ALCONS
181,2005-02-01,103.5,ALCONS
182,2005-03-01,103.9,ALCONS
183,2005-04-01,106.0,ALCONS
184,2005-05-01,105.1,ALCONS
185,2005-06-01,104.7,ALCONS
186,2005-07-01,104.9,ALCONS
187,2005-08-01,105.6,ALCONS
188,2005-09-01,105.6,ALCONS
189,2005-10-01,106.9,ALCONS
190,2005-11-01,107.9,ALCONS
191,2005-12-01,107.7,ALCONS
192,2006-01-01,108.0,ALCONS
193,2006-02-01,108.5,ALCONS
194,2006-03-01,109.4,ALCONS
195,2006-04-01,110.6,ALCONS
196,2006-05-01,109.8,ALCONS
197,2006-06-01,110.3,ALCONS
198,2006-07-01,110.1,ALCONS
199,2006-08-01,110.4,ALCONS
200,2006-09-01,110.1,ALCONS
201,2006-10-01,109.6,ALCONS
202,2006-11-01,110.2,ALCONS
203,2006-12-01,110.4,ALCONS
204,2007-01-01,112.5,ALCONS
205,2007-02-01,113.1,ALCONS
206,2007-03-01,113.2,ALCONS
207,2007-04-01,112.3,ALCONS
208,2007-05-01,111.8,ALCONS
209,2007-06-01,112.0,ALCONS
210,2007-07-01,111.5,ALCONS
211,2007-08-01,112.2,ALCONS
212,2007-09-01,113.3,ALCONS
213,2007-10-01,113.6,ALCONS
214,2007-11-01,112.9,ALCONS
215,2007-12-01,113.4,ALCONS
216,2008-01-01,112.7,ALCONS
217,2008-02-01,112.4,ALCONS
218,2008-03-01,110.5,ALCONS
219,2008-04-01,110.8,ALCONS
220,2008-05-01,110.1,ALCONS
221,2008-06-01,109.6,ALCONS
222,2008-07-01,109.4,ALCONS
223,2008-08-01,107.9,ALCONS
224,2008-09-01,107.4,ALCONS
225,2008-10-01,104.7,ALCONS
226,2008-11-01,103.5,ALCONS
227,2008-12-01,102.5,ALCONS
228,2009-01-01,97.2,ALCONS
229,2009-02-01,95.4,ALCONS
230,2009-03-01,94.4,ALCONS
231,2009-04-01,92.8,ALCONS
232,2009-05-01,92.6,ALCONS
233,2009-06-01,91.8,ALCONS
234,2009-07-01,90.8,ALCONS
235,2009-08-01,89.8,ALCONS
236,2009-09-01,88.5,ALCONS
237,2009-10-01,87.5,ALCONS
238,2009-11-01,88.7,ALCONS
239,2009-12-01,89.4,ALCONS
240,2010-01-01,87.8,ALCONS
241,2010-02-01,87.2,ALCONS
242,2010-03-01,87.5,ALCONS
243,2010-04-01,88.2,ALCONS
244,2010-05-01,88.3,ALCONS
245,2010-06-01,89.2,ALCONS
246,2010-07-01,88.0,ALCONS
247,2010-08-01,87.4,ALCONS
248,2010-09-01,86.5,ALCONS
249,2010-10-01,85.9,ALCONS
250,2010-11-01,84.9,ALCONS
251,2010-12-01,83.5,ALCONS
